Place	Latitude	Longitude	LatLong	Also Known as	Fictional	City	Country	Associated People	Volumes & Pages	Volume	Start page	End Page	Events
Bois De Boulogne	48.8603	2.2521	"48.8603,2.2521"		No	Paris	France	"Verdurin, Odette, Swanns, Allée des Acacias, Bloch, de Stermaria, Albertine, Charlus"	"I 316, 323-5, 342-3, II 122-3, III 443-9, V 186-94"				"Paris. Verdurin dinner-parties in the Bois: I 316, 323-5, 342-3. Odette's encounter with a woman on the Island in the Bois: 440-41. The Swanns live near it: 496, 499. What it represents for M; Mme Swann's walks and drives there; the Allée des Acacias: 501-6. The Bois in autumn; the Allée des Acacias; ""the Elysian Garden of Woman"": 506-13. Associated with Swann's memory of Vinteuil's ""little phrase"": II 122-3. M. Bloch drives through it in a hired Victoria: 407. M. invites Mme de Stermaria to dine with him on the Island in the Bois; visits it with Albertine: III 443-9. ""Improper things"" happen there at night: 598. M. de Charlus wants to admire the moolight in the Bois: 651 (cf. IV 2). M goes for a walk there with Albertine and contem¬plâtes the girls: V 186-94. M walks there alone one Sunday in autumn; its charm and melancholy; ""afiower"" with girls: 639-43."
Bonnetable	48.179535	 0.426305	"48.179535, 0.426305"			Bonnetable	France	"Norpois, Prince Foggi"		V	726	726	In The Perche Région Norpois went shooting there with Prince Foggi: V 726.
Bources	37.63031	 -112.173607	"37.63031, -112.173607"			Bources	France		"II 272, V 669"				The cathedral: II 272; its soaring steeple in a Book of Hours: V 669
Brabant	51.525839	 5.11875	"51.525839, 5.11875"		No	Brabant	Belgium	Charlus	"I 9, II 386, IV 395, 406"				"Its ""old-gold, sonorous"" name: I 9. The lords of Guermantes were Counts of Brabant: 122, 205, 209; II 386 (cf. III 600, 682, 684-5). Charlus claims to be Duke of Brabant: IV 395, 406."
Brittany	30.212379	 -90.880737	"30.212379, -90.880737"		No	Brittany	France	"Breton, de Stermaria"	"I 157-8, II 297, 303. III 445—6, 460.V 32"				"Evoked by Legrandin: I 157-8 (cf. II 488). Towns of Brittany served by the 1.22 train: 464,467-8. The Stermar- ias, an ancient Breton family: II 297, 303; M imagines a life of poetry and romance in Brittany with Mlle de Stermaria: 308-10. The lsland in the Bois evokes for M the ""marine and misty"" atmosphère of Mlle de Stermaria's Breton island: III 445—6, 460. Mme de Guermantes's Breton anecdotes: V 32. The Breton postal system: 148. "
Brou	48.21139	 1.163675	"48.21139, 1.163675"			Brou	France	Philibert le Beau and Marguerite d'Autriche		I	356	356	Tombs of Philibert le Beau and Marguerite d'Autriche in its church: I 356.
Bruges	51.208483	 3.224519	"51.208483, 3.224519"		No	Bruges	Belgium	Rachel		III	137	139	Visited by Rachel every year on All Souls' Day: III 137-9.
Buttes-Chaumont	48.877899	 2.38547	"48.877899, 2.38547"		No	Paris	France	"Andrée, Albertine, Bontemps"	V 13				Public Park In Paris. Andrée proposes to take Albertine there since she has never been before: V 13; M advises against: 14. Mme Bontemps reveals that Albertine used to go there constantly: 444. M is painfully reminded of this: 620-21. Andrée admits to having frequently made love to Albertine in the Buttes-Chaumont: 697 (cf. 627).
Californie 	37.271875	 -119.270229	"37.271875, -119.270229"		No	California	United States			II	559	559	farm restaurant near Balbec: II 559
Carquethuit 	40.523519	 -85.149115	"40.523519, -85.149115"		Yes	Carquethuit 	France			II	480	"482, 488"	"a small port near Balbec. Subject of an Elstir picture: II 480-82, 488. Reminiscent of Florida, accord- ing to Elstin 501."
Carqueville 	40.779079	 -85.090668	"40.779079, -85.090668"		Yes	Carqueville 	France	Villeparisis		II	331	340-41	"mediaeval village with an ivy-covered church which M visits with Mme de Villeparisis: II 331, 340-41."
Champs-Elysees	48.87048	 2.30542	"48.87048, 2.30542"		No	Paris	France	"Gilberte, Françoise, Boulbon"	"I 171, II 67- 76. III 347- 8, VI 206-7"				"Paris. ""Melancholy neighbourhood"" where Gilberte lives: I 171. Françoise takes M for daily walks there: 461, 473. M's first meeting with Gilberte there: 474-5. The importance it assumes in his life; games with Gilberte: 475-91; II 67-76. The little pavilion and the ""Marquise"": 74-5 (cf. III 354-7). Its bad réputation as regards children's health: 77, 82-3. M sees Gilberte walking along the Avenue des Champs-Elysées with a young man: 231 (cf. VI 5-6). Dr du Boulbon advises M's grandmother to go there for her health: III 347-8. M takes his grandmother there; her stroke: 354-8. M's nostalgie memory of the streets in the neighbour- hood of the Champs-Elysées: VI 206-7. "
Chantepie	48.088359	 -1.618863	"48.088359, -1.618863"		Yes	Chantepie	France	"de Cambremer, Albertine"		IV	370	"373, 416"	"Forest of , near Balbec. M. de Cambremer shoots there; etymology of the name: IV 370-73, 416. M and Albertine drive through it: 455 (cf. V 550, 558)."
Chantilly	38.883607	 -77.439755	"38.883607, -77.439755"		No	Chantilly	France	"Duc d'Aumale, Poussins"	"III 678, IV 244"				"Residence of the Duc d'Aumale, where M. de Guermantes used to go and dine every week: III 678. The Poussins at Chantilly: IV 244."
Charlus 	45.322263	 2.394722	"45.322263, 2.394722"		No	Charlus 	France			III	626	626	Little village in the heart of Burgundy: III 626. The Château de Charlus: 640.
Chartres	48.44451	 1.48342	"48.44451, 1.48342"		No	Chartres	France		"I 46, 72. II 41, III 6; IV 397, V 185"				"The cathedral: I 46, 72; the Queens of Chartres: 116; ""a positive jewel in stone"" (Norpois): II 41. Comparison with Balbec church: 41; Notre Dame de Chartres: III 6; IV 397; the windows of Chartres: V 185. "
Chateaudun	48.070358	 1.33216	"48.070358, 1.33216"		No	Chateaudun	France	"Curé's brother, Goupil"	"I 67, III 511, IV 332"				"In the Eure-et-Loir department. The Curé's brother a tax-collector there: I 67. Mme Goupil has a dress made there: 119. Comtesse G not even in ""the second-best society of Chàteaudun"": III 511. Etymology: IV 332"
Chatellerault	46.8199	 0.54494	"46.8199, 0.54494"		No	Chatellerault	France	"Bontemps, Albenine"		V	497	598	"In the Vienne depanment. Mme Bontemps has a villa near there, where Albenine takes refuge after leaving M: V 497, 598."
Chatou	48.889995	 2.155805	"48.889995, 2.155805"		No	Chatou	France	"Verdurins, Swann"		I	342	347	Near Versailles. The Verdurins organise an outing there to which Swann is not invited: I 342-7.
Chaumont	44.067489	 -76.13076	"44.067489, -76.13076"			Chaumont	France	Broglie		V	620	620	Town on the upper Loire to which the duc de Broglie retired; reminds M of the Buttes-Chaumont: V 620
Chelsea	51.490139	 -0.16248	"51.490139, -0.16248"		No	Chelsea	England	Whistler		II	445	445	"London. Whistler ""the Chelsea master"": II 445"
Cherry Orchard 	42.33687	 -98.243944	"42.33687, -98.243944"		Yes	Balbec 	France	Nissim Bernard		IV	291	292	Farm-restaurant near Balbec where Nissim Bernard encounters the tomato-faced waiters: IV 291 -2.
Chevreuse	48.707553	 2.044098	"48.707553, 2.044098"			Chevreuse	France	"Albertine, Andrée"		V	625	625	Valley of. Albertine liked going there with Andrée: V 625.
Combray 	48.950228	 -0.437422	"48.950228, -0.437422"		Yes	Combray 	France	"Françoise, Curé's"	"I 8-224, II 3-4, III 1, IV 240-41, 330.V 7-8, VI 1-4, 8-9, 20"				"M's memories of it: I 8-224. The house, the little garden, the visitor's bell: 8-14. Evoked by the madel¬eine: 53-5. General description of the town: 56. ""The daity but immémorial chronicles of Combray""; 61-8. The church: 68-78. History of tbe parish: 121-6. The Square; walks round Combray; streets and villas: 135-6, 159. The two ""ways"": 160-61. The aesthetic standards of Combray: 167. The wind, ""rutelary genius"" of Combray: 174. The Combray of today and of yesierday; ruins of the castle: 198-201. The moral code of Combray: II 3-4. Nothing less like the social ""world"" than the society of Combray: 169. Sociological theories of Combray: 366. The rites of Combray: III 1. The name Guermantes evokes tbe air of Combray: 4-7. Combray evoked by Françoise: 11-12, 16-21. Sandstone steps of its houses: 86 (cf. 459). Sense of duty and code of manners Françoise has inherited from Combray: 368-9, 379-80. Referred to disdainfully by Françoise's daughter as ""the back of beyond"": 392 (cf. III 164-5). M recalls arriving at Com¬bray by night: 458-9. Mme de Guermantes's eyes and voice remind M of Combray countryside: 570. Rue de Saintrailles: 614. The Curé's magnum opus on the parish: IV 240-41, 330. The ""Combray spint""—the rule of caste: 492-3 (cf. V 734-5 757); order and propriety: V 7-8. Françoise's Combray ""customary"": 550. Venice compared to Combray: 715-18, 741. Combray's réaction to Gilberte's marriage: 778-9. M's disillusionment on revisiting the neighbourhood: VI 1-4, 8-9, 20. Occupied during the war: 75, 79-81; the church destroyed: 130-31. A memory of Combray the point of departure for M's exploration of Time: 447-51."
"Commanderie, La "	40.523519	 -85.149115	"40.523519, -85.149115"		Yes	Balbec 	France	"Bloch's father, Charlus"		IV	580	584	House near Balbec rented by Bloch's fathen IV 580; Charlus's anti-semitic observations on the subject: 584.
Compiègne	49.41762	 2.82513	"49.41762, 2.82513"		No	Compiègne	France	"Verdurins, Odette, Swann, Marquis de Forestelle"	"I 352-3, V 733"				The Verdurins take Odette there without Swann to watch the sunsets in the forest: I 352-3.The Marquis de Forestelle has a house in the neighbourhood: 353. Napoléon III's residence: V 733 (cf. II 135).
Couliville 	32.884548	 -97.157333	"32.884548, -97.157333"		Yes	Balbec	France	Albertine	"IV 554, V 687"				Village near Balbec. Sacrilegious subject represented on the capitals of its old church: IV 554. Morel takes Albertine to a brothel there: V 687.
Coutances	49.047951	 -1.445173	"49.047951, -1.445173"			Coutances	France			I	464	464	One of the stops on the I.22 train: I 464. What its name evokes: 468.
Cowes	41.681087	 -71.462188	"41.681087, -71.462188"		No	Isle of Wight	England	Albertine		II	555	555	Isle of Wight. Albertine wants to go there for the regatta: II 555
"Creuniers, Les "	42.80994	 0.70952	"42.80994, 0.70952"		Yes	Balbec	France	Andrée		II	555	556	"Rocks near Balbec, reminiscent of a cathedral: II 555-6. Andrée takes M there: 579, 583-4."
"Croix D'Heuland, La "	49.278698	 -0.000981	"49.278698, -0.000981"		Yes	Balbec	France		II 559; IV 272				Farm-restaurant near Balbec: II 559; IV 272.
Delft	52.011505	 4.35869	"52.011505, 4.35869"		No	Delft	Netherlands		"I 237, 290. III 605 , IV 124"				"Home of Vermeer: I 237, 290. His View of Delft. III 605 (cf. V 207). Tulip-gardens in Delft: 662 (cf. V 746). The Master of Delft: IV 124."
Doncières 	48.393572	 6.636078	"48.393572, 6.636078"		Yes	Balbec	France	"Saint-Loup's friends, Bloch, Albertine"	"I 8, II 355, 404, 425, 447, 516, 562. III 73, IV 293-4, 296-8. V 619, VI 64, 76, 85, 139, 364"				"Garrison town not far from Balbec. Remembered by M: I 8. Saint-Loup on military service there: II 355, 404, 425, 447, 516, 562. Description: III 73. M visits Saint-Loup there: 73-155. First impressions; the barracks, the Captain's house in the Place de la République: 77-9. First morning there; the view from Saint-Loup's room; mist, frost and hot chocolaté: 85-6. The Hôtel de Flandre: 86-9. Walks through the town: 98-9, 102-3; Doncières by night: 104-6. The hôtel where Saint-Loup and his fnends dine, the Faisan Doré: 105-7 (cf. IV 579-80); military comradeship: 111-30 passim. M's memories of ""mornings at Doncières"": 398-9, 450-51, and of evenings there (the inn, the panelled dining-room, the serving-girl): 357-8. M and Albertine meet Saint-Loup at Doncières station: IV 293-4, 296-8; meeting between Charlus and Morel, who is doing his military service there: 299-302 (cf. 326). Brichot gives the etymology of the name: 579. Meetings at Doncières station; invitations from Saînt-Loup's friends; meeting with Bloch: 579-83. Depoeticisation of the name: 591; its association with Albertine: V 619. Recollections of Doncières during the war: VI 64, 76, 85, 139, 364. "
Douville 	44.999038	 0.588165	"44.999038, 0.588165"		Yes	Douville 	France		"II 276, IV 212, 307"				"Station on the little local railway: II 276, and the stop for Féteme and La Raspelière: IV 212, 307. Its etymology: 332-3. The village and its surroundings: 339; the toll-house: 341-2. Beauty spots round Douville: 459; the ""view of Douville"": 463. Painters from Paris spend their holidays there: 501."
Dresden	51.05364	 13.740816	"51.05364, 13.740816"		No	Dresden	Germany	"Swann, Odette"	"I 425, II 221-2, IV 57, V 64"				"Swann needs to go there for his study of Vermeer: I 425. Odette surrounded by Dresden pieces: II 221-2. Mme de Guermantes ""a statuette in Dresden china"": III 8. The women ar the Guermantes dinner party ""like Dresden figures"": 505. Dresden china plates: IV 57 (cf. VI 25-6). The art gallery: 560; V 64."
"Ecorres, Les "	42.80994	 0.70952	"42.80994, 0.70952"		Yes	Balbec 	France	Françoise's young footman	"III 655, V 548"				Farm-restaurant near Balbec II 559. Françoise's young footman bom there: III 655. Remembered by M: V 548.
Egypt	26.69636	 30.465961	"26.69636, 30.465961"		No	Egypt	Egypt	"Odette, Norpois"	"I 428, II 5, III 33"				"Odette's projected trip there with Forcheville on Whitsun: I 428. Norpois was Controller of the Egyptian Public Debt: II 5. ""Doubles"" of the dead in ancient Egypt: III 33. Napoleon's Egyptian expédition: 600, 603. "
Epreville 	49.707423	 0.367922	"49.707423, 0.367922"		No	Epreville 	France	"Bon- temps, Albertine"		IV	208		"Watering-place near Balbec where Mme Bon- temps takes a villa: IV 208. M sends the lift-boy there to fetch Albertine: 219, 223, 228. Etymology: 454."
Ferney	45.32732	 -98.096977	"45.32732, -98.096977"			Ferney	France			IV	522		Hermitage of. Residence of Voltaire
Feterne 	46.353789	 6.565008	"46.353789, 6.565008"			Feterne 	France	Dowager Mme de Cambremer	"II 307, IV 190-93"				"The Cambremer estate near Balbec. The notary goes there on Sundays: II 307. Hired cabs wait at the Grand Hôtel for the Féterne guests: 328. Its marvellous gardens; its position overlooking tbe sea: IV 190-93. Compared with La Raspelière: 241. The Dowager Mme de Cambremer talks of her little back garden and of her roses: 245. M invited there, but not the judge: 255-7. ""Féterne is starvation corner"" (Mme Verdurin): 429. A dinner-party at Féteme: 563-71."
Florence	34.800465	 -87.675254	"34.800465, -87.675254"		No	Florence	Italy		"I 465—73, II 243, III 158-9, 165"				"Poetry of the name; M conjures it up in his imagination (""a supematural city""); abortive plan to visit it at Easter I 465—73. Resurgence of M's desire to go there: II 243. His memory of this desire makes it the paschal city: III 158-9, 165."
Florida	27.76102	 -83.832764	"27.76102, -83.832764"		No	Florida	United States	Carquethuit		II	501	502	Carquethuit reminds Elstir of certain aspects of Florida: II 501-2.
Fontainebleau	25.772325	 -80.348089	"25.772325, -80.348089"		No	Fontainebleau	France	Albertine	"III 409, IV 579, V 138"				Albertine on the Fontainebleau golf club: III 409. The forest of Fontainebleau: 617. Doncières has a spurious look of Fontainebleau: IV 579. Water-grapes from Fontainebleau: V 138
Frohsdorf	47.74678	 16.253851	"47.74678, 16.253851"		No	Frohsdorf	Austria			V	32		"Austrian residence of the Comte de Chambord, pretender to the French throne: V 32"
Gaeta	41.212208	 13.571904	"41.212208, 13.571904"		No	Gaeta	Italy			V	"279, 306, 367"		"Port in southern Italy. Its siege and capitulation in 1861 put an end to the Kingdom of the Two Sicilies: V 279, 306, 367."
Gourville 	45.83302	 -0.014194	"45.83302, -0.014194"		No	Gourville 	France			IV	458		Village near Balbec: IV 458; the plain of Gourville: 475; the château of Gourville: 565; etymology: 578.
Graincourt-Saint-Vast 	43.775502	 1.715242	"43.775502, 1.715242"		Yes	Graincourt-Saint-Vast 	France	"Couard, Cottard and Ski"		IV	"305, 311"		"First station after Doncières on the little local railway; Couard catches the train there: IV 305, 311. Cottard and Ski nearly miss the train there: 314, 370."
Grattevast 	0	0	"0,0"		Yes	Grattevast 	France	Crécy's sister		IV	454		"On the little local railway, in the opposite direction from Féterne: IV 454; M. de Crécy's sister has a house there: 558."
Guermantes 	48.853705	 2.712228	"48.853705, 2.712228"		Yes	Guermantes 	France	"Guermantes family, Princesse des Laumes"	"I 160-61, 198-201. II 386-7, III 6-8, IV 135, V 33, VI 3"				"Seat of the Guermantes family, not Far from Combray. The ultimate goal of the ""Guermantes way"" —""a sort of abstract geographical term""; surrounded by river scenery (the Vivonne): I 160-61, 198-201. M and his family never reach it on their walks: 205-6. M's longing to go there: 207, 213, 218-22. Permanent significance of the Guermantes way for him: 220-22. Swann reminded of Guermantes and its countryside on meeting the Princesse des Laumes: 409. Saint-Loup talks about the château: II 386-7. M imagines the château: III 6-8. Françoise talks about it: 17-19, 30-31. Mme de Guermantes stays on there late into the season: 57. ""Shadowy, sun-splashed coolness"" of the woods of Guer¬mantes: 231-2. The Duchess's lunch-parties: 234-6. She and Charlus had played there together as chîldren: 437. Car¬nations from Guermantes: 630-31. The Guermantes visitors' book: 635. Life there remembered by the Duke and his brothen IV 135. The Duchess tells an anecdote about a shooting party (the Marquis du Lau and the Prince of Wales): V 33 (cf. 673). Gilbene reveals that it can be reached in a quarter of an hour from Combray: VI 3; the Guermantes way and the Méséglise way not irreconcilable: 3."
Haarlem	52.38861	 4.639775	"52.38861, 4.639775"		No	Haarlem	Netherlands	"Frans Halses, Guermantes"		III	605	606	The Frans Halses there discussed at the Guermantes dinner-party: III 605-6. Tulip gardens in Haar¬lem: 662 (cf. V 746).
Harambouville 	0	0	"0,0"		Yes	Harambouville 	France	"Cottard, Verdurin, Cambremers"		IV	316		One of the stopping places on the little local railway: 276. A farm labourer gets into the little dan's companment and is ejected by Cottard: IV 316. Mme Verdurin plans an outing there: 426. The Cambremers lunch with friends there: 568. Its etymology (Herimbald's town): 589.
Hermenonville 	0	0	"0,0"		Yes	Hermenonville 	France			IV	562		"M. de Chevregny's station: IV 562. Etymology of the name (Herimund's town): 578, 579, 589- 91."
"Hague, The"	43.745071	 -73.498627	"43.745071, -73.498627"		No	Hague	France	Swann	"I 425, III 605, V 207"				"Swann needs to go there for his study of Vermeer, the Mauritshuis: I 425. M has been there: III 605. Its an gallery lends Vermeer's View of Delft for an exhibition in Paris: V 207."
Holland	52.152355	 5.29297	"52.152355, 5.29297"	"See Amsterdam; Delft; Haarlem; Hague, The."	No	Holland	Netherlands	"Swann, Odette"	"I 297, III 6o6, IV 246"				"Swann's fondness for it; Odette imagines it to be ugly: I 297. M has once been there: III 6o6. Albertine has been there: IV 246. Her excursions in the Dutch countryside: V 439. M anxious to prevent her from returning: 472. (See Amsterdam; Delft; Haarlem; Hague, The.)"
Hudimesnil 	48.862659	 -1.493014	"48.862659, -1.493014"		Yes	Balbec	France			II	342	345	Near Balbec. M's experience with the three trees near there: II 342-5 (cf. V 294).
Incarville 	49.234459	 1.176597	"49.234459, 1.176597"		Yes	Balbec	France	"Cottard, Albertine, Andrée, Marquis de Mont- peyroux and M. de Crécy"	"II 276, IV 208, 212-14. V 503"				"Near Balbec. Stopping place on the little local railway: II 276. Albertine ""en pension"" there with Rose- monde's family: IV 208, 212-14. M meets Cottard there and they go to the Casino: 224-5, where they see Albertine and Andrée dance together 225—7. Albertine meets Mme Bontemps's friend with the ""bad name"" there: 291. M and Albertine drive through it: 467. Brichot refers to Balbec as Incarville: 524 (cf. V 256). M. de Crécy's old castle perched above Incarviile: 562. Etymology of the name (the village of Wiscar): 578. Its cliff: 589. The Marquis de Mont- peyroux and M. de Crécy visit the little train at Incarviile station: 590. The arcades of Incarviile where Albertine would wait for M: V 503. (Sometimes confused with Parvitle (q.v.).)"
Infreville 	49.309271	 0.871398	"49.309271, 0.871398"		Yes	Balbec	France	"Albemne, Albertine"	"IV 229-30, V 117"				"Near Balbec. Albemne proposes to call on a lady there: IV 229-30. Later, she déniés ever having been near the place: V 117; its associations with Albertine: 619."
Italy	41.29254	 12.573465	"41.29254, 12.573465"	See Florence; Milan; Orvieto; Padua; Parma; Pisa; Rome; Siena; Trieste; Venice.	No	Italy	Italy	Swann	"I 19, III 161-2, V 715-52"				"Swann brings back photographs of old masters from his visits to Italy: I 19. M's parents promise him a holiday in the north of Italy: 464-5. Dreams of Italy: 465-6. Evocations of Florence, Venice, Parma, etc 466-74 (cf. II 253; III 165); ""Precious lustre"" of streets in old Italian towns: III 161-2. Mme de Guermantes invites Swann to go with her to Italy: 685-8. Trip to Venice: V 715-52. (See Florence; Milan; Orvieto; Padua; Parma; Pisa; Rome; Siena; Trieste; Venice.)"
Maison des Jardies	43.083	 -0.01476	"43.083, -0.01476"		No	Sèvres	France			IV	522		Balzac's house on the outskirts of Paris: IV 522.
Josselin	47.961285	 -2.545454	"47.961285, -2.545454"			Josselin	France			V	32		Residence of the Rohans in Brittany: V 32
Jouy-Le-Vicomte 	45.426938	 1.678029	"45.426938, 1.678029"			Jouy-Le-Vicomte 	France		"I 45, VI 74"				Town near Combray where M's grandmother buys books for him: I 45. M. Pupin's daughter goes to boarding school there: 65. Its canals can be seen from the top of the steeple of Combray; its etymology: 125-6. Opérations in the neighbourhood during the Great War: VI 74
Laghet	43.753231	 7.38259	"43.753231, 7.38259"			Laghet	France	Odette		I	266	437	"Notre Dame de. Place of pilgrimage in the Alpes-Maritimes; Odette has a medal from there: I 266, 437."
Lamballe	48.469295	 -2.515659	"48.469295, -2.515659"		Yes	Lamballe	France			I	464		One of the stops on the 1.22 train; I 464. What its name evokes: 468.
Lannion	48.730585	 -3.459789	"48.730585, -3.459789"		Yes	Lannion	France			I	464		One of the stops on the 1.22 train: I 464. What its name evokes: 468.
Laon	49.564481	 3.619941	"49.564481, 3.619941"		Yes	Laon	France	Gilberte Swann	"I 174, III 6"				Gilberte Swann often goes to spend a few days there: I 174. Its cathedral: III 6.
"Laumes, Les (F )"	42.80994	 0.70952	"42.80994, 0.70952"			"Laumes, Les (F )"	France	Guermantes		V	669		Village in Burgundy. The Duc de Guermantes is Prince des Laumes: V 669
London	51.506325	 -0.127144	"51.506325, -0.127144"	See Chelsea; Twickenham	No	London	England	"Verdurins, Cambremer-Legrandin, Prince Von, Guermantes"	"II 99, III 229, V 41"				Visited by the Verdurins: II 99. Visited by Mme de Cambremer-Legrandin; the British Muséum: III 229. Prince Von has a house there: 294. Mme de Guermantes goes shop¬ping there: V 41. (See Chelsea; Twickenham.)
Maineville 	39.31677	 -84.220895	"39.31677, -84.220895"			Maineville 	France	"M, Princess Sherbat, Morel, Guermantes, Albertine"	"II 276, IV 213-14"				"Last stop before Balbec on the little local railway: II 276. M and the little band hire a couple of two- seater ""governess-carts"" there: 585. Its cliffs visible from the Grand Hôtel: 593. Its luxury brothel: IV 213-14. Princess Sherbat off catches the train there: 315, 324, 335. An unsus- pecting newcomer takes the luxury brothel for a grand hôtel:550-51.Morel's assignation with the Prince de Guermantes: 551-3. Expériences in the brothel of Charlus and Jupien: 554-7. Albertine leaves the train there on fine evenings: 591."
